Name,Genres,Budget(USD)_Inflated,Domestic(USD)_Inflated,Domestic_Percentage,Foreign(USD)_Inflated,Foreign_Percentage,Worldwide(USD)_Inflated,Runtime(mins),Rating,Audience_Score,Critics_Score,plot_summary,Month,Day,Year,Foreign_higher,emotion,emotion_score,drama,comedy,thriller,action,adventure,romance film,horror,fantasy,mystery,crime,indie,biography,family,sci-fi,period piece,animation,teen,film adaptation,musical,history,coming of age,sports,war,Worldwide_profit
10 cloverfield lane,"drama, thriller, horror, sci-fi",6076745.992586547,87606015.06137401,0.6540098138582053,46346126.33625908,0.3459901861417947,133952141.39763308,103,pg-13,0.79,0.91,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.",Mar,11,2016,0,fear,0.6799338459968567,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.0433998
"10,000 bc","drama, thriller, action, adventure, romance film, fantasy",144156336.39046806,130130887.27483562,0.3513334014692728,240260560.6507801,0.6486665985307272,370391447.9256157,109,pg-13,0.37,0.1,"Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.",Mar,7,2008,1,fear,0.7680020332336426,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.569373342857143
12 rounds,"thriller, action, crime",27262750.53491617,16677570.519651784,0.7080129159600346,6877890.325349508,0.2919870840399655,23555460.84500129,108,pg-13,0.45,0.31,"When New Orleans cop Danny Fisher (John Cena) prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",Mar,27,2009,0,anger,0.6811538338661194,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8640163000000001
12 strong,"drama, action, history, war",39790503.6883914,52091127.40364386,0.6442738753125106,28761332.08553938,0.3557261246874893,80852459.48918325,130,r,0.62,0.5,"In the wake of Sept. 11, Capt. Mitch Nelson leads a U.S. Special Forces team into Afghanistan for an extremely dangerous mission. Once there, the soldiers develop an uneasy partnership with the Northern Alliance to take down the Taliban and its al-Qaida allies. Outgunned and outnumbered, Nelson and his forces face overwhelming odds in a fight against a ruthless enemy that takes no prisoners.",Jan,19,2018,0,fear,0.9083622097969056,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0319536571428567
12 years a slave,"drama, biography, history",25392603.58263432,71952472.62434135,0.3018751738970499,166399266.25988927,0.6981248261029501,238351738.8842306,134,r,0.9,0.95,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.",Oct,18,2013,1,sadness,0.8574754595756531,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9.3866601
127 hours,"drama, thriller, adventure, biography",24336884.40617515,24790131.83725749,0.301870153931432,57331706.02713907,0.698129846068568,82121837.86439656,94,r,0.85,0.93,"While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, ""Between a Rock and a Hard Place.""",Jan,28,2011,1,fear,0.7483594417572021,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.374377611111111
13 going on 30,"comedy, romance film, fantasy, coming of age",55310108.1256135,85553894.99426368,0.5854866095330474,60570531.42514984,0.4145133904669526,146124426.4194135,98,pg-13,0.71,0.64,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna (Christa B. Allen) wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old (Jennifer Garner). But adulthood, with its own set of male-female challenges, isn't as easy as it looks.",Apr,14,2004,0,joy,0.5921016931533813,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6419117837837836
13 hours: the secret soldiers of benghazi,thriller,60767459.92586546,64235117.35070983,0.7614490104431019,20123935.546778586,0.2385509895568982,84359052.8974884,144,r,0.83,0.51,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.",Jan,15,2016,0,anger,0.8499864339828491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3882274000000001
13 sins,"thriller, horror",5001458.834016616,17266.28625973386,0.0166994593143414,1016676.5459435616,0.9833005406856586,1033942.8322032952,93,r,0.45,0.65,"A desperate, debt-ridden salesman agrees to perform an increasingly hideous set of tasks in order to win millions of dollars.",Apr,18,2014,1,disgust,0.8793691396713257,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20672824999999992
1408,"thriller, horror, film adaptation",31555412.02600026,100957162.2884614,0.5413942392891422,85519078.05908918,0.4586057607108578,186476240.34755057,104,pg-13,0.61,0.79,"Mike Enslin (John Cusack) is a successful author who enjoys worldwide acclaim debunking supernatural phenomena -- before he checks into the Dolphin Hotel, that is. Ignoring the warnings of the hotel manager (Samuel L. Jackson), he learns the meaning of real terror when he spends the night in a reputedly haunted room.",Jun,22,2007,0,fear,0.9783454537391664,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.909485200000001
15 minutes,"drama, thriller, action, adventure, crime",72769720.16562572,42281896.4306499,0.4329943339227587,55368102.929832526,0.5670056660772413,97649999.36048242,120,r,0.37,0.32,"At the center of ""15 Minutes"" is a New York City double murder that must be solved. But the fast-paced story isn't so much about figuring out the truth of the murder, as following who controls that truth. This is the thriller as seen through an eye-popping new lens -- that of the media's hunt for shocking imagery, no matter the cost. In ""15 Minutes,"" as the cops chase the murderers, the media chases the cops, and the whole thing fuels an escalating firestorm.",Mar,9,2001,1,fear,0.7784869074821472,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3419042857142855
16 blocks,"thriller, action, adventure, crime",64468281.35709252,52857029.57105778,0.5618715870276827,41216119.51034182,0.4381284129723173,94073149.0813996,102,pg-13,0.57,0.55,"Boozy and world-weary, NYPD Detective Jack Mosley (Bruce Willis) draws a routine assignment to transport trial witness Eddie Bunker (Mos Def) to the courthouse by 10 a.m. The task quickly becomes a deadly game of cat-and-mouse when some of Jack's fellow officers arrive to kill Eddie so that he cannot testify against them. Jack sees a way to redeem his wasted life by protecting the affable Eddie from the would-be assassins.",Mar,3,2006,0,fear,0.4221365451812744,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4592160222222224
