Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
127 hours,2010.0,"thriller, biographical film, drama, adventure",18000000.0,18335230.0,42403567.0,60738797.0
13 going on 30,2004.0,"romantic comedy, fantasy, comedy, coming of age, romance film, fantasy comedy",37000000.0,57231747.0,40518989.0,97750736.0
1408,2007.0,"thriller, supernatural, horror, film adaptation",22500000.0,71985628.0,60977789.0,132963417.0
15 minutes,2001.0,"thriller, crime fiction, media satire, psychological thriller, action/adventure, drama, crime thriller, action",42000000.0,24403552.0,31956428.0,56359980.0
16 blocks,2006.0,"thriller, crime fiction, action, action/adventure, crime thriller",45000000.0,36895141.0,28769580.0,65664721.0
17 again,2009.0,"romantic comedy, coming of age, fantasy, comedy, drama, romance film, fantasy comedy, teen",40000000.0,64167069.0,75307837.0,139474906.0
2 fast 2 furious,2003.0,"thriller, crime fiction, action/adventure, crime thriller, action thrillers, action, sports",76000000.0,127154901.0,109290549.0,236445450.0
2012,2009.0,"thriller, science fiction, adventure, doomsday film, action/adventure, apocalyptic and post-apocalyptic fiction, drama, dystopia, disaster, action, natural disaster",200000000.0,166112167.0,603567306.0,769679473.0
2046,2004.0,"science fiction, fantasy, drama, romantic drama, romance film, chinese movies",12000000.0,1444588.0,18025651.0,19470239.0
21,2008.0,"action/adventure, crime fiction, drama, film adaptation",35000000.0,81159365.0,78687064.0,159846429.0
21 grams,2003.0,"thriller, ensemble film, tragedy, drama, crime fiction",20000000.0,16290476.0,44137363.0,60427839.0
21 jump street,2012.0,"crime fiction, comedy film, action",42000000.0,138447667.0,64364762.0,202812429.0
25th hour,2002.0,"crime fiction, drama, crime drama",4500000.0,13084595.0,12259895.0,25344490.0
27 dresses,2008.0,"romantic comedy, romance film, comedy",30000000.0,76808654.0,85846697.0,162655351.0
28 days,2000.0,"romantic comedy, drama, comedy-drama, comedy, addiction drama",43000000.0,37170488.0,25028457.0,62198945.0
28 weeks later,2007.0,"thriller, science fiction, horror, doomsday film, sci-fi horror, plague, zombie film",15000000.0,28638916.0,36409762.0,65048678.0
30 days of night,2007.0,"thriller, horror, creature film",30000000.0,39569000.0,40707160.0,80276160.0
30 minutes or less,2011.0,"action/adventure, crime fiction, action, comedy, adventure",28000000.0,37053924.0,3912792.0,40966716.0
300,2006.0,"historical fiction, adventure, superhero movie, costume drama, film adaptation, epic, action/adventure, fantasy, war film, historical epic, action",60000000.0,210614939.0,245453242.0,456068181.0
3000 miles to graceland,2001.0,"crime fiction, thriller, heist, caper story, chase movie, action/adventure, comedy, crime thriller, action",62000000.0,15749959.0,2970216.0,18720175.0
