Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
epoch,2000.0,"thriller, disaster, science fiction, television movie",,,,
equal opportunity,2007.0,comedy,,,,
equalizer 2000,1986.0,"science fiction, action, adventure, filipino movies",,,,
equals,2016.0,,,,,
equilibrium,2002.0,"thriller, science fiction, future noir, drama, action, dystopia",20000000.0,,,
equilibrium,2002.0,"thriller, science fiction, future noir, drama, action, dystopia",20000000.0,,,
equinox,1992.0,"crime fiction, drama, indie",,,,
equinox,1970.0,"monster movie, horror, supernatural, stop motion, cult, b-movie",,,,
equinox flower,1958.0,"japanese movies, art film, world cinema, family drama, comedy-drama, drama, comedy, domestic comedy",,,,
equus,1977.0,"thriller, horror, psychological thriller, mystery, drama, film adaptation",,,,
er conde jones,2011.0,comedy film,,,,
er dong,2008.0,"drama, chinese movies, world cinema",,,,
er fattaccio,1952.0,drama,,,,
era bator sur,1956.0,black-and-white,,,,
era lei che lo voleva,1952.0,comedy,,,,
era lui... sì! sì!,1951.0,comedy,,,,
eran trecento,1952.0,drama,,,,
eraser,1996.0,"action/adventure, action thrillers, action, thriller, chase movie",100000000.0,,,
eraser children,2009.0,"science fiction, adventure, world cinema, drama, comedy, fantasy",,,,
eraserhead,1977.0,"science fiction, horror, indie, experimental film, surrealism, black-and-white, cult, drama, fantasy, avant-garde",100000.0,,,
erastes tou oneirou,1974.0,comedy,,,,
ergastolo,1952.0,drama,,,,
ergens in nederland,1940.0,"black-and-white, war film",,,,
eric and ernie,2011.0,drama,,,,
erich kubak,1959.0,drama,,,,
erik of het klein insectenboek,2004.0,"mystery, adventure",,,,
erik the conqueror,1961.0,"adventure, world cinema, costume drama, costume adventure, epic, action/adventure, action",,,,
erik the viking,1989.0,"parody, fantasy adventure, indie, costume drama, action/adventure, satire, fantasy, comedy, adventure",,,,
"erik, il vichingo",1965.0,fantasy,,,,
erkan & stefan,2000.0,,,,,
ermine and rhinestones,1925.0,"silent film, drama",,,,
ermo,1994.0,"comedy-drama, satire, drama, chinese movies, tragicomedy",,,,
ernakulam junction,1971.0,,,,,
ernest & celestine,2012.0,animation,,,,
ernest and bertram,2002.0,"short film, parody, mockumentary, comedy",,,,
ernest et celestine,2013.0,,12500000.0,,,
ernest goes to africa,1997.0,"family film, comedy of errors, adventure comedy, comedy, slapstick",,,,
ernest goes to camp,1987.0,"family film, comedy, slapstick",,,,
ernest goes to jail,1990.0,"family film, ""childrens"", prison, comedy, slapstick",,,,
ernest goes to school,1994.0,"family film, comedy, slapstick",,,,
ernest in the army,1998.0,"parody, family film, comedy, slapstick",,,,
ernest maltravers,1920.0,"silent film, drama",,,,
ernest rides again,1993.0,"comedy, slapstick",,,,
ernest saves christmas,1988.0,"christmas movie, ""childrens"", comedy, family film, slapstick",,,,
ernest scared stupid,1991.0,"family film, ""childrens"", comedy, holiday film, slapstick",,,,
ernest the rebel,1938.0,"comedy film, western",,,,
ernesto,1979.0,"musical, drama, romance film",,,,
"ernst, bobbie, en de geslepen onix",2007.0,"family film, comedy",,,,
eroica,2003.0,"period piece, drama",,,,
eros,2004.0,"romantic drama, romance film, drama, indie, chinese movies",,,,
eros + massacre,1969.0,"drama, biographical film, japanese movies, erotica",,,,
erotic diary of an office lady,1977.0,"pinku eiga, erotica, world cinema, adult, softcore porn, drama, pornographic movie, japanese movies, romance film",,,,
erotic ghost story,1987.0,"sex comedy, erotica, adult, softcore porn, fantasy, fantasy comedy, chinese movies",,,,
erotic nights of the living dead,1980.0,"zombie film, horror",,,,
erotissimo,1969.0,comedy,,,,
errors of youth,1978.0,drama,,,,
ersatz,1961.0,"short film, comedy, animation",,,,
erskineville kings,1999.0,"ensemble film, drama",,,,
erstwhile susan,1919.0,drama,,,,
ervinka,1967.0,"satire, crime comedy, comedy, world cinema",,,,
eréndira,1983.0,"drama, comedy",,,,
es geschah am hellichten tag,1958.0,drama,,,,
esa pareja feliz,1953.0,"comedy, black-and-white",,,,
esabet al-doctor omar,2007.0,comedy,,,,
escaflowne,2000.0,"science fiction, fantasy adventure, japanese movies, adventure, world cinema, animation, anime, fantasy, coming of age",,,,
escala en la ciudad,1935.0,"drama, black-and-white",,,,
escala musical,1966.0,"musical, comedy",,,,
escalation,1968.0,comedy,,,,
escamotage d'une dame au théâtre robert houdin,1896.0,"silent film, documentary",,,,
escanaba in da moonlight,2001.0,"sports, family film, comedy, indie",,,,
escapade,1935.0,"romance film, comedy",,,,
escapade,1951.0,"comedy film, drama, comedy",,,,
escapade in japan,1957.0,"drama, childhood drama, ""childrens/family""",,,,
escape,1930.0,"crime fiction, drama",,,,
escape,1948.0,thriller,,,,
escape,1940.0,"drama, black-and-white",,,,
escape 2000,1981.0,"thriller, action/adventure, science fiction, horror, world cinema, action thrillers, action",,,,
escape at dawn,1950.0,"japanese movies, drama, black-and-white",,,,
escape by night,1953.0,"crime fiction, drama",,,,
escape by night,1937.0,"drama, black-and-white",,,,
escape by night,1960.0,"world cinema, epic, drama, war film, romantic drama, romance film",,,,
escape captivity: the movie,2008.0,,,,,
escape from afghanistan,1994.0,"thriller, action, war film",,,,
escape from alcatraz,1979.0,"thriller, action/adventure, drama, suspense, escape film, action, prison",8000000.0,,,
escape from angola,1976.0,adventure,,,,
escape from broadmoor,1948.0,"short film, thriller",,,,
escape from cluster prime,2005.0,"science fiction, action, animation",,,,
escape from east berlin,1962.0,"drama, escape film, docudrama",,,,
